time,north_bering_sst,south_bering_sst,west_aleutians_sst,central_aleutians_sst,east_aleutians_sst,west_gulf_sst,central_gulf_sst,east_gulf_sst,north_bering_sst_stdev,south_bering_sst_stdev,west_aleutian_sst_stdev,central_aleutian_sst_stdev,east_aleutians_sst_stdev,west_gulf_sst_stdev,central_gulf_sst_stdev,east_gulf_sst_stdev,north_bering_sst_n,south_bering_sst_n,west_aleutian_sst_n,central_aleutian_sst_n,east_aleutian_sst_n,west_gulf_sst_n,central_gulf_sst_n,east_gulf_sst_n
UTC,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,,,,,,,,
1985-04-16T00:00:00Z,-0.04014183,0.86834717,1.8947206,2.3159082,2.53168,3.0232303,3.600094,4.761435,1.0424653,1.200572,0.5859501,0.74685913,0.67195404,0.67307633,0.5761612,0.8045371,4583,11907,4938,3331,7452,7699,27957,15667
1985-05-17T00:00:00Z,-0.41591308,1.8060498,2.9034286,3.0358615,3.096482,3.659229,4.707805,6.266894,1.1583495,1.468797,0.5508822,0.7071827,0.83276266,0.7898312,1.0438974,0.74940103,44312,23485,13828,8167,5708,12738,31750,28660
1985-06-16T00:00:00Z,1.3196968,3.0882266,4.6522026,4.379734,4.5360284,5.892437,7.1463027,8.308325,1.7598197,1.6290121,0.9608915,1.1656654,1.1894281,1.4127983,1.0937736,1.1821634,37932,16516,11206,6690,10975,13327,27670,25609
1985-07-17T00:00:00Z,5.6735425,5.742451,6.9593983,7.195448,6.855693,9.135711,9.435155,10.670261,1.4411114,1.6205733,1.0960196,1.8235048,1.510849,1.1443173,0.97789717,1.2185292,43714,18376,6963,2065,5728,5540,17852,13088
1985-08-17T00:00:00Z,8.081219,6.927689,8.276835,8.502208,8.426167,9.196618,10.6622305,11.852014,1.7778735,1.1224952,0.9631473,1.2531514,0.91064686,0.8516829,0.82258147,0.9898815,33125,15250,15977,13889,18373,18270,34237,27256
1985-09-16T00:00:00Z,5.890036,7.3267064,8.582312,8.653197,9.167471,9.58801,10.66229,12.137991,1.6477842,1.0781157,0.68379855,1.2418864,1.229798,1.2233461,0.99707896,0.83477414,22810,12063,12024,15468,13880,11067,26083,29965
1985-10-17T00:00:00Z,3.3160121,6.015776,6.9619427,6.9820013,7.971868,8.514251,8.037224,9.191145,2.1314807,1.3268819,0.7039381,1.0912527,1.2645521,1.1394948,1.1672381,0.83266044,10502,7815,15439,14999,15412,17841,26426,20185
1985-11-16T00:00:00Z,1.0844009,3.841355,5.009641,5.0901394,5.4520664,5.971809,5.379299,6.3421335,1.6137779,1.3228726,1.1868292,1.2449148,1.4418778,1.3730341,1.0506749,1.0588518,27585,15756,12541,14216,12022,15278,24384,30416
1985-12-17T00:00:00Z,1.3861141,3.657218,3.63824,3.8907282,4.3402295,5.012689,4.8067937,5.291516,1.4444696,0.7810219,0.57947165,0.63938785,0.6814778,0.6154919,0.65723586,0.97917855,35662,19913,11592,12690,17678,19724,27798,14718
1986-01-17T00:00:00Z,1.4618517,2.6312833,2.7184677,2.820829,3.2327013,3.724769,4.4142823,5.436489,1.2104181,0.9244276,0.44903114,0.4783229,0.5076058,0.5710305,0.4833731,0.5775854,16055,15913,14972,9194,10291,12554,24796,21129
